what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1477280797952
processors,sysinfo,,,"4",1477280797952
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477280797952
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1477280797952
java.specification.name,sysinfo,,,"Java Platform API Specification",1477280797952
java.specification.vendor,sysinfo,,,"Oracle Corporation",1477280797952
java.specification.version,sysinfo,,,"1.8",1477280797952
java.vendor,sysinfo,,,"Oracle Corporation",1477280797952
java.version,sysinfo,,,"1.8.0_60",1477280797952
java.vm.info,sysinfo,,,"mixed mode",1477280797952
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1477280797952
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477280797952
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1477280797952
java.vm.specification.version,sysinfo,,,"1.8",1477280797952
java.vm.vendor,sysinfo,,,"Oracle Corporation",1477280797952
java.vm.version,sysinfo,,,"25.60-b23",1477280797952
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1477280798015
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1477280798380
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1477280799165
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1477280799222
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1477280799613
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1477280799706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477280808453
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1477280937620
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1477280937987
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1477280950797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477285112625
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1477285125638
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285132583
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285140396
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285140864
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1477285141723
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285151216
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285151217
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285152798
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285152891
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285156669
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285156669
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285158313
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285158469
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285162905
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285162905
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285164421
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285164530
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1477285166148
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285166226
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285166226
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285167539
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285167633
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285169337
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285169337
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285171405
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285171499
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285171499
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285176010
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285176088
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285176088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477285184233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477285300826
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285313299
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285313414
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1477285332482
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285332810
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285332935
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285335311
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285335389
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285336497
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285336497
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285372048
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477285376657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477285400078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477288396025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477288398115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477290146369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477290219939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477290225624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477290272959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477291638655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477291640407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477291784808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477291798116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477292991349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477292991832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477292991836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293331222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293333697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293354158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293356047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293374564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293376759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293927837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293935821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293961042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477293969880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477294581939
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1477294600408
