what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1477561516965
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477561517105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477561521326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477561549792
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477561560357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1477561560373
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477561560545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477561564088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477562283857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477562297087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477562351570
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477562405476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1477562405476
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477562405648
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477562417277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1477562417293
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477562417451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477562421406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477562468202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477562470001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477574804335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477574805581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477584468524
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477584486036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477584486084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477584486116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1477584486124
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477584492430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477584524103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477584535378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477584590233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477585698590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477585708942
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477585711436
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477585721725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1477585721725
