what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.8",1467519423562
java.vendor,sysinfo,,,"Oracle Corporation",1467519423562
java.version,sysinfo,,,"1.8.0_60",1467519423562
java.vm.info,sysinfo,,,"mixed mode",1467519423562
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1467519423562
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1467519423562
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1467519423562
java.vm.specification.version,sysinfo,,,"1.8",1467519423562
java.vm.vendor,sysinfo,,,"Oracle Corporation",1467519423563
java.vm.version,sysinfo,,,"25.60-b23",1467519423563
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1467519428467
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1467519430634
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1467519430790
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1467519431385
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1467519432489
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1467519434859
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1467519436343
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1467519436508
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1467519453601
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1467519453874
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1467519454632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467520815789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467520871110
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1467520871780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467520877886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467522452384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467522461060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467523055817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467523081186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467524996332
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1467525054999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1467525066374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1467525076290
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1467525085468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1467525085514
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1467525086455
