what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440329267452
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440329398404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1440329398435
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440329398482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440329403272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440330593853
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440330613256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1440330613275
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440330613340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440330626809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440330637904
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440330642069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1440330724302
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440330986682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1440330986690
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440330986882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440331051101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440331051253
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440331098972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1440331098980
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440331099192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440334920570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440337856657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440337859872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440338061789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440338064897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440394217820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440394219305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440394234407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440394281658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440406333483
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1440406342543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440406367271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440406403425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1440406403435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1440406403435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440406721612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440407080438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440407114803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440407686126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440407696170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419162600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419175325
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440419243669
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440419244248
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440419244529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419244544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419252321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419293308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419302557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419333159
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440419335404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419559730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419580956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1440419666412
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440419738358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1440419738358
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440419738530
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440419888975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420059327
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1440420123136
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440420146571
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1440420277142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420288115
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440420594521
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1440420594843
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1440420594905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420594968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420614422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420619408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420619595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420637673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420642979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420738572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420742626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420774578
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440420792788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440420829727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421513322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421517701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421647583
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1440421651234
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1440421657444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421682444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421700191
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1440421713876
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1440421717618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421722984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421745973
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1440421751813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421764475
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421943150
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421956435
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440421959185
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1440421959419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421959513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1440421959528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440421967503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440422011980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422012027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1440422012043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1440422012043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422024059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422034877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422042213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422260503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422269934
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1440422282043
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440422282137
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440422282231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422282278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422287613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440422347839
