what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466921088363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466921100960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466921131093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466921145283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466921147646
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466921156293
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1466921160584
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921202847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466921202908
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921202926
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921210836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466921210844
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921211043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466921271409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466921311329
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921314995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466921315057
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921315106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1466921327460
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921332395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466921332403
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921332537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466921340473
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921341867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466921341875
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466921342057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466921347049
