what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1467798558654
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1467798558684
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1467798558684
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1467798558704
os,sysinfo,,,"win32",1467798558709
arch,sysinfo,,,"x86",1467798558709
ws,sysinfo,,,"win32",1467798558709
locale,sysinfo,,,"en_US",1467798558709
processors,sysinfo,,,"4",1467798558709
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1467798558709
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1467798558709
java.specification.name,sysinfo,,,"Java Platform API Specification",1467798558709
java.specification.vendor,sysinfo,,,"Oracle Corporation",1467798558709
java.specification.version,sysinfo,,,"1.8",1467798558709
java.vendor,sysinfo,,,"Oracle Corporation",1467798558709
java.version,sysinfo,,,"1.8.0_60",1467798558709
java.vm.info,sysinfo,,,"mixed mode",1467798558709
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1467798558709
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1467798558709
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1467798558709
java.vm.specification.version,sysinfo,,,"1.8",1467798558709
java.vm.vendor,sysinfo,,,"Oracle Corporation",1467798558709
java.vm.version,sysinfo,,,"25.60-b23",1467798558709
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1467867674523
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1467867681904
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1467867684519
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1467867684772
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1467867684862
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1467950040422
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1467950040422
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1467950040422
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1467950040422
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1467950040427
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1467950040427
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1467950040427
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1467950040427
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1467950040427
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1467950040427
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1467950040432
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1467950040432
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1467950040468
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1467950040469
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1467950040470
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1467950040471
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1467950040472
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1467950040487
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1467950040523
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1467950040524
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1467950040526
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1467950040526
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1467950040527
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1467950040528
