what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388169232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388169295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388241434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388242425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388249429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388265555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388292493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388302884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388318669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388318918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388328732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388328826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388365320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388365461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468388371781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388378646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388460280
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1468388477173
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1468388482933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388533511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388533652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388552856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388581561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1468388585514
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1468388592247
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1468388598654
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1468388614029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388620958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388625382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388625617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388635336
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1468388646898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388887137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388926967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468388940496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468389311227
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1468389316120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468389358452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468389898819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468389929667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1468390809006
