what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1438939043162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1438939047193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1438939058084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1438939061084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939064069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438939064069
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939064225
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939142810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438939142810
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939142966
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939151326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438939151326
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939151482
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939156576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438939156576
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438939156748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1438939187718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1438939191359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1438939218983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1438939226593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1438939231719
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1438939243248
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1438939243264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438939264186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438939301187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1438939374354
