what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1478065195322
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1478065195387
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1478065195388
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1478065195396
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1478065195397
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1478065195426
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1478065195432
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1478065195433
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1478065195440
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1478065195507
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1478065195574
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1478065195589
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1478065195589
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1478065195589
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1478065195625
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1478065195626
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1478065195627
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1478065195644
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1478065195712
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1478065195713
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1478065195803
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1478065195804
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1478065195804
os,sysinfo,,,"win32",1478065195808
arch,sysinfo,,,"x86",1478065195808
ws,sysinfo,,,"win32",1478065195808
locale,sysinfo,,,"en_US",1478065195808
processors,sysinfo,,,"4",1478065195808
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1478065195808
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1478065195808
java.specification.name,sysinfo,,,"Java Platform API Specification",1478065195808
java.specification.vendor,sysinfo,,,"Oracle Corporation",1478065195808
java.specification.version,sysinfo,,,"1.8",1478065195808
java.vendor,sysinfo,,,"Oracle Corporation",1478065195808
java.version,sysinfo,,,"1.8.0_60",1478065195808
java.vm.info,sysinfo,,,"mixed mode",1478065195808
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1478065195808
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1478065195808
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1478065195808
java.vm.specification.version,sysinfo,,,"1.8",1478065195808
java.vm.vendor,sysinfo,,,"Oracle Corporation",1478065195808
java.vm.version,sysinfo,,,"25.60-b23",1478065195808
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1478065196750
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1478065198298
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1478065198784
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1478065199381
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1478065228458
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1478065228738
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1478065229315
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1478065270411
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1478065271067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065330614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065335912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1478065335928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065340867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065416756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065422593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065737645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478065740325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478067911291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478067912571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478088326652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478088328041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478089329371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478089334253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478098460598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478098463358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478098631518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478098668047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478105283774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478105286041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478107173497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478107176405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478140795086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478140838866
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478143356856
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1478143363992
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1478143375523
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1478143375617
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1478143375679
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1478145832156
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1478145832160
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1478145832160
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1478145832160
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1478145832160
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1478145832164
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1478145832164
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1478145832164
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1478145832164
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1478145832164
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1478145832168
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1478145832168
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1478145832180
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1478145832180
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1478145832180
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1478145832180
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1478145832184
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1478145832184
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1478145832184
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1478145832184
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1478145832184
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1478145832184
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1478145832188
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1478145832188
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1478145832188
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1478145832188
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1478145832192
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1478145832192
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1478145832192
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1478145832192
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1478145832196
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1478145832196
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1478145832196
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1478145832196
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1478145832200
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1478145832200
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1478145832456
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1478145832460
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1478145832472
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1478145832472
