what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466944971445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466944974803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945031275
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1466945072405
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466945089578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466945089584
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466945089797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945102952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945152506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945194621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945207367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945235657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945315326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945331958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945376327
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466945376366
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1466945391906
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1466945509965
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1466945510009
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466945539835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466945539873
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466945539906
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466945637198
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466945637218
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1466945637234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945643604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945653684
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1466945653853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945658716
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945673449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945676256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945699549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945701809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945721181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945723173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466945857711
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1466945861040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946026995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946142014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946171421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946417346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946420135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946739269
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466946741790
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1466946742750
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1466949205462
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1466949205462
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1466949205462
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1466949205486
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1466949205530
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1466949205530
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1466949205558
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1466949205558
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1466949205558
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1466949205594
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1466949205594
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1466949205622
