what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1438757435362
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1438757435363
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1438757435379
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1438757435379
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1438757435380
os,sysinfo,,,"win32",1438757435383
arch,sysinfo,,,"x86",1438757435383
ws,sysinfo,,,"win32",1438757435383
locale,sysinfo,,,"en_US",1438757435383
processors,sysinfo,,,"4",1438757435383
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1438757435383
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1438757435383
java.specification.name,sysinfo,,,"Java Platform API Specification",1438757435383
java.specification.vendor,sysinfo,,,"Oracle Corporation",1438757435383
java.specification.version,sysinfo,,,"1.8",1438757435383
java.vendor,sysinfo,,,"Oracle Corporation",1438757435383
java.version,sysinfo,,,"1.8.0_45",1438757435383
java.vm.info,sysinfo,,,"mixed mode",1438757435383
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1438757435383
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1438757435383
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1438757435383
java.vm.specification.version,sysinfo,,,"1.8",1438757435383
java.vm.vendor,sysinfo,,,"Oracle Corporation",1438757435383
java.vm.version,sysinfo,,,"25.45-b02",1438757435383
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1438757436441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438757438816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760354000
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1438760580285
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760590697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760590907
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438760601935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438760601948
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438760602258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760609687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760611414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760611532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760629131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760631650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760683254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438760687411
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438761930169
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438761939196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438761939209
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1438761939245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438761952664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438761952869
